date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,ercot_wholesale_mwh,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter
2017-11-01,2017,11,2017-11,21.605123216601815,27.044682230869,15.16630998702983,10.454993514915694,76.43190661478599,28.26715199647033,35.38402144954097,12.94,10.49,6.73,30.81641584284443,29.536731007726864,21.62603332334365,14.839387621243244,672,978,1650,,,,0.2630136986301377,1.9397260273972603,True
2017-12-01,2017,12,2017-12,24.63144847495921,28.39356093887285,25.790448098405925,15.275699761516254,96.82728756118992,25.43854020427185,29.32392474686391,12.45,10.28,6.54,31.79089371975324,30.40610020606196,21.032510768274484,13.550930790523866,678,985,1663,,,,0.2630136986301377,1.9397260273972603,True
2018-01-01,2018,1,2018-01,24.68011798669512,28.762237981674406,30.791891552654697,17.383268482490273,104.8525166311033,23.53793574027964,27.43113747366405,12.22,10.49,6.94,29.550900632864757,31.959924262380788,20.00079952355488,14.463422980119123,685,995,1680,,,,2.07945205479452,2.967123287671233,True
2018-02-01,2018,2,2018-02,23.990550305725403,28.59321150639244,23.96772512506948,14.737458310172316,94.19264174541412,25.46966499842692,30.356098922965536,12.63,10.65,6.78,32.09961192573929,26.73565639691275,21.11151894056672,16.94009160862528,695,1008,1703,,,,2.07945205479452,2.967123287671233,True
2018-03-01,2018,3,2018-03,23.77425630726748,27.509162796535712,20.69125768796285,13.11484875109828,87.7939625957073,27.07960274756972,31.333775106172023,12.97,10.51,6.63,33.12853026313313,25.07430457970238,20.846926156997924,17.84515311619184,705,1022,1727,,,,2.07945205479452,2.967123287671233,True
2018-04-01,2018,4,2018-04,22.85820363164721,26.95950064850843,14.294682230869002,9.787321660181584,76.24867055771726,29.978494660237317,35.35733862808945,12.88,10.46,6.57,32.707888194389746,24.387177321148588,19.66147588308393,20.150104957143917,718,1038,1756,,,,2.07945205479452,2.967123287671233,True
2018-05-01,2018,5,2018-05,26.646510606250786,25.444897703024974,5.303721601606628,5.138320572360988,64.51945525291829,41.2999621614839,39.43755818036619,13.12,10.51,6.79,34.01233122822286,25.144682717011925,19.86154995395321,18.069584446597997,732,1058,1790,,,,2.07945205479452,2.967123287671233,True
2018-06-01,2018,6,2018-06,30.92311932555123,25.467769130998704,3.8665369649805448,4.617412451361869,66.93450064850843,46.19907376008835,38.04879230329512,13.03,10.84,7.17,35.17919038369743,27.29424928742146,18.73896859233408,16.057353529557865,748,1078,1826,,,,2.07945205479452,2.967123287671233,True
2018-07-01,2018,7,2018-07,38.44012802811598,25.461873980168196,3.323647546127777,4.31699510480733,73.81118990837203,52.07899788072093,34.495953813745764,13.13,11.0,7.32,40.05663453985452,28.05229564804322,17.616755254939783,11.743767563287944,762,1095,1857,,,,2.07945205479452,2.967123287671233,True
2018-08-01,2018,8,2018-08,37.2483055102297,25.557989205472573,3.1310719216769174,4.486506840717961,72.65391615413581,51.26813182541618,35.17771726337657,13.26,11.03,7.25,39.623834007663234,28.216084280915293,17.715085754115805,11.90084485985166,772,1108,1880,,,,2.07945205479452,2.967123287671233,True
2018-09-01,2018,9,2018-09,33.42902075226978,25.979345006485083,3.6419260700389104,4.753631647211415,69.94860570687419,47.79083216091117,37.14061880711937,13.01,10.72,7.05,39.798518948578845,27.09943654217445,18.16792835276506,12.251277431060146,780,1118,1898,,,,2.07945205479452,2.967123287671233,True
2018-10-01,2018,10,2018-10,27.864127023973893,26.210587423120373,8.011735910631355,7.448537718087109,71.73380820886156,38.8437861027037,36.5386811011136,12.85,10.77,6.87,37.89785586599984,26.855970674784423,18.27979866425021,14.068108989121905,785,1125,1910,,,,2.07945205479452,2.967123287671233,True
2018-11-01,2018,11,2018-11,24.748313878080417,28.680252918287938,19.42208171206225,12.524513618677044,88.07487029831388,28.099177204867487,32.56349151709963,12.9,10.54,6.85,33.55401733850522,28.792685563742104,19.83889210164195,14.787794727717737,788,1128,1916,,,,2.07945205479452,2.967123287671233,True
2018-12-01,2018,12,2018-12,23.93102799046065,28.88904229948537,24.023471821262707,14.405265470064014,94.13590435546628,25.421785825836203,30.68865434212812,12.43,10.33,6.67,32.09278679274275,29.320997433490646,20.94390426707264,14.676218848753548,772,1108,1880,,,,2.07945205479452,2.967123287671233,True
2019-01-01,2019,1,2019-01,26.649366135308146,29.790856031128406,29.92930212125016,17.394408183758006,107.47596334881383,24.795652260233737,27.718622008943537,12.47,10.3,6.58,33.82073804335084,28.067347018164742,20.500403607838777,14.653160845899585,748,1078,1826,,,,4.786301369863014,4.983561643835617,True
2019-02-01,2019,2,2019-02,27.10762923846581,29.675479433018342,28.11047804335742,16.40654530294608,104.92204002223455,25.83597233976893,28.283361080979414,12.72,10.54,6.69,35.59761382937116,25.37228227106979,20.54268362741767,15.661878120828565,732,1058,1790,,,,4.786301369863014,4.983561643835617,True
2019-03-01,2019,3,2019-03,25.55036400150621,28.258660725492657,21.60527802184009,13.312162671017951,91.8954750847245,27.80372371757113,30.750872879692,12.84,10.46,6.73,35.454016794682666,23.985884306077253,19.92293128326867,17.75723542362631,725,1048,1773,,,,4.786301369863014,4.983561643835617,True
2019-04-01,2019,4,2019-04,24.020492866407263,26.635538261997407,10.654377431906616,7.994390402075226,71.77360570687419,33.467028206034065,37.11049208086025,13.25,10.52,6.51,35.076413666350945,20.198860881948686,20.42081922042157,21.400663834956912,728,1052,1780,,,,4.786301369863014,4.983561643835617,True
2019-05-01,2019,5,2019-05,26.27209112589432,25.95873603614912,6.665244132044684,5.801650558554035,66.99940379063638,39.21242524484377,38.74472691916256,13.31,10.54,6.69,35.42697000570886,21.7553302522022,20.3144261495456,19.64854629173453,735,1062,1797,,,,4.786301369863014,4.983561643835617,True
2019-06-01,2019,6,2019-06,32.14951361867704,25.358592736705575,4.189818417639429,4.690434500648508,68.75061608300908,46.76250985134433,36.8848952656479,13.32,10.9,6.87,39.0483837476754,22.24990306110169,19.492125680000203,16.57133225599325,740,1068,1808,,,,4.786301369863014,4.983561643835617,True
2019-07-01,2019,7,2019-07,39.41078825153759,25.2036839462784,3.506997615162545,4.454311535082214,75.1594075561692,52.4362678379078,33.53363839043412,13.26,11.02,7.14,41.93627017626705,24.575973938635972,17.607789616116044,13.439921856861032,742,1072,1814,,,,4.786301369863014,4.983561643835617,True
2019-08-01,2019,8,2019-08,40.13897954060499,26.036902221664366,3.1973766788000506,4.41784862558052,76.41423998995857,52.5281407573766,34.07336410737818,13.3,11.02,7.4,43.58628406840767,23.426195886514385,17.91364344831452,12.563408429691052,740,1068,1808,,,,4.786301369863014,4.983561643835617,True
2019-09-01,2019,9,2019-09,35.072730220492865,25.835992217898838,3.561640726329442,4.6419584954604405,71.56679636835278,49.00698648011888,36.10052919641887,13.16,10.96,7.06,41.52270811718673,23.773176552100253,18.324603541305542,13.829096748360548,732,1058,1790,,,,4.786301369863014,4.983561643835617,True
2019-10-01,2019,10,2019-10,29.42108070792017,26.4509539349818,7.270490774444584,6.782383582276891,72.40705409815487,40.63289285051841,36.53090747087284,12.81,10.74,6.84,40.8761815288139,20.84496270952829,19.36390105363514,16.23957939539867,722,1042,1764,,,,4.786301369863014,4.983561643835617,True
2019-11-01,2019,11,2019-11,26.56750972762646,28.90291828793774,19.101005188067447,12.607749675745785,90.27976653696496,29.42797788112181,32.01483499196186,13.03,10.57,6.72,37.33126639954612,23.919441427563843,20.30255163496844,15.756242570960913,708,1022,1730,,,,4.786301369863014,4.983561643835617,True
