date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter,henry_hub_spot,texas_citygate,california_citygate,gas_price,post_order436,post_order636,post_order888,post_epact2005,shale_boom,post_caa1990,post_mats,post_cpp,post_rggi,post_ca_cap,post_lng_exports,us_net_exporter,post_ira,post_lng_pause,era,post_nepa,post_epact2005_permitting,post_fra2023,post_certificate_policy,post_mvp_approval,post_order2003,post_order2023,post_order1000,post_order1920,post_401_battles,power_share_of_gas,heating_demand,base_demand,is_winter,is_summer,gas_coal_ratio,thermal_share,clean_share,post_coal_decline,post_major_coal_ret,shale_era,caiso_wholesale_historical_mwh,indiana_wholesale_mwh,midc_wholesale_mwh,isone_wholesale_mwh,pjm_wholesale_mwh,palo_verde_wholesale_mwh,ca_industrial_cents_kwh,tx_industrial_cents_kwh,ercot_wholesale_mwh,post_obbba,ira_era
2011-09-01,2011,9,2011-09,22.18540856031128,21.35732814526589,3.980252918287938,4.592542153047989,53.68463035019455,41.32543786851441,39.78294719726703,12.17,10.59,7.15,27.14725309910134,41.707039791685766,19.78178716159334,8.413644838225554,842,1208,2050,41.001153865345415,,-5.701369863013699,0.0,False,3.9,5.93,4.66,3.9,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,41.32543786851441,8.572795071335927,43.54273670557717,0,0,0.6509033782952178,68.85429289078711,28.195431999818894,1,0,1,41.001153865345415,34.91470588235294,33.446059951390765,44.96442885771543,45.1825047318612,39.90091836734694,11.02,6.69,34.775388888888884,0,0
2011-10-01,2011,10,2011-10,18.04104430776955,21.55660851010418,7.076252039663612,6.468620559809213,54.73998995857914,32.95770481766788,39.38000084840299,12.08,10.25,6.77,25.532746730524337,41.01962638350927,20.517420481627333,9.871015948123372,855,1222,2077,34.84951026514655,,-5.701369863013699,0.0,False,3.57,5.41,4.41,3.57,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,32.957704817667874,13.544872599472823,39.59765281787373,0,0,0.6224519573096118,66.5523731140336,30.388436429750705,1,0,1,34.84951026514655,35.58655870445344,26.65380977968834,47.11609090909091,42.58796188898094,34.757978596908444,10.9,5.96,28.41771505376344,0,0
2011-11-01,2011,11,2011-11,17.592282749675746,22.98855382619974,14.088910505836576,9.288229571984436,65.88430609597926,26.70178042711352,34.89230620826509,11.78,9.98,6.53,24.807880206874604,39.94141738116653,21.201388763169987,10.926081882315518,862,1232,2094,36.30744677826503,,-5.701369863013699,0.0,False,3.24,4.85,4.13,3.24,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,26.70178042711352,23.37714007782101,40.58083657587549,0,0,0.6211066565347327,64.74929758804113,32.1274706454855,1,0,1,36.30744677826503,34.2030303030303,34.03915179725886,41.8528320802005,40.53776828110161,33.18114285714286,9.83,5.94,24.413342579750346,0,0
2011-12-01,2011,12,2011-12,19.263650056482994,23.84843730387849,21.75323208233965,12.55820886155391,79.76270867327727,24.15119844461457,29.89923198517001,11.4,9.77,6.51,25.651250109094835,39.59270057807196,21.396697737726083,10.278288102756292,858,1225,2083,33.84782788290141,,-5.701369863013699,0.0,False,3.17,4.7,3.94,3.17,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,24.15119844461457,34.31144094389356,43.112087360361485,1,0,0.6478782637853588,65.2439506871668,31.67498584048237,1,0,1,33.84782788290141,34.23374045801527,32.33930402930403,46.36419732441472,41.63365831012071,32.051274319066145,8.94,5.82,25.574543010752688,0,0
2012-01-01,2012,1,2012-01,20.359702522907,24.62529810468181,24.926823145475083,13.99086858290448,86.48738546504329,23.54066135012953,28.47270497572728,11.41,9.84,6.44,26.73160683979501,38.0208900843837,21.31827419662522,10.8484381065261,845,1212,2057,29.260826648688592,,-4.293150684931508,0.0,False,2.67,5.21,3.66,2.67,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,23.54066135012954,38.917691728379566,44.98500062758881,1,0,0.7030768290922907,64.75249692417871,32.16671230315132,1,0,1,29.260826648688592,31.417558139534883,26.156030095759235,48.67231884057971,36.23495098039216,27.159719626168226,9.59,5.58,22.05197580645161,0,0
2012-02-01,2012,2,2012-02,21.61981752314504,24.56239098349658,22.20770159667248,12.9828592513082,83.88078626056621,25.77445740194365,29.282499698078983,11.51,9.94,6.45,29.28664421469621,36.80540927416418,20.63645887319462,10.171943706566518,840,1205,2045,28.305124658110664,,-4.293150684931508,0.0,False,2.51,5.13,3.13,2.51,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,25.77445740194365,35.19056084798068,46.18220850664162,1,0,0.7957157600541663,66.09205348886039,30.808402579761136,1,0,1,28.305124658110664,29.05198347107438,24.430466007022023,34.80101313320826,33.175634016704635,26.133992932862192,9.65,5.58,20.665402298850577,0,0
2012-03-01,2012,3,2012-03,21.15284925316932,22.76713317434417,12.650621312915778,8.207731894063011,66.76794903978913,31.68114275992464,34.09889550565124,11.7,9.84,6.46,29.845930621785577,34.140767966204656,19.97110953333687,12.994683039594854,838,1202,2040,24.27787563986751,,-4.293150684931508,0.0,False,2.17,4.45,2.91,2.17,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,31.68114275992463,20.85835320697879,43.91998242751349,0,0,0.8742020874085064,63.98669858799023,32.96579257293172,1,0,1,24.27787563986751,29.54088888888889,17.61533172231986,29.41248310810811,35.68419411764706,22.257527593818985,9.54,5.41,22.322866756393,0,0
2012-04-01,2012,4,2012-04,23.162710765239947,22.45214007782101,9.053534370946824,6.774967574578469,63.3291504539559,36.57511682883008,35.45308900700487,11.92,9.82,6.38,32.12033050472911,32.613792626928515,18.924594879848428,13.319534003867831,842,1208,2050,26.942446479209945,,-4.293150684931508,0.0,False,1.95,3.3,2.63,1.95,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,36.57511682883008,15.828501945525293,45.61485084306096,0,0,0.9848695265882093,64.73412313165763,32.24412888371626,1,0,1,26.942446479209945,30.261203703703703,14.118441810344828,29.541649484536084,37.33811614730878,21.53524550898204,9.65,5.23,27.20115277777777,0,0
2012-05-01,2012,5,2012-05,25.494759633488137,21.759570729258183,5.117453244634115,4.679835571733401,58.79989330990336,43.358513423006826,37.00613981487164,11.9,9.96,6.53,31.900938595521776,34.46569934976308,18.44828068389516,12.37510669583202,850,1218,2068,29.60804296800085,,-4.293150684931508,0.0,False,2.43,2.86,2.69,2.43,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,43.35851342300682,9.797288816367516,47.25433036274632,0,0,0.9255851236844572,66.36663794528485,30.82338737972718,1,0,1,29.60804296800085,36.73343023255814,10.998042929292929,29.89569705093833,42.66447537473233,26.94698823529412,9.92,5.37,23.16567204301075,0,0
2012-06-01,2012,6,2012-06,28.53051232166018,21.99954604409857,3.999221789883268,4.250032425421531,60.58223086900129,47.09386219756834,36.31352911329533,12.09,10.39,6.89,32.03696562078513,36.37799417618518,18.053077318874383,10.85203298402449,858,1228,2086,30.33088217984934,,-4.293150684931508,0.0,False,2.46,3.21,3.41,2.46,1,1,1,1,1,1,0,0,1,0,0,0,0,0,5_SHALE_DOMINANCE,1,1,0,1,0,1,0,1,0,0,47.09386219756834,8.249254215304799,50.53005836575875,0,1,0.8806688314266128,68.41495979697032,28.90511030289888,1,0,1,30.33088217984934,42.66253731343284,9.424918069584736,69.27096479791395,56.12701646090535,29.08926958831341,11.19,5.6,32.076347222222225,0,0
