year,month,month_name,p_hurricane,p_major_hurricane,p_polar_vortex,p_war_event,p_supply_disruption,p_any_event,risk_score
2027,11,Nov,0.15261487954418984,0.07309110718572631,0.01889912896648316,0.014871446034854388,0.05364219498448677,0.22492671028351052,86.0
2027,12,Dec,0.04055472492808698,0.018796107966516873,0.17370216880742262,0.014871446034854388,0.05364219498448677,0.26089677569330505,86.0
2028,1,Jan,0.0,0.0,0.17815215132960038,0.015058969918266987,0.054066683722655294,0.23429378194278938,87.2
2028,2,Feb,0.0,0.0,0.15083350099841608,0.015058969918266987,0.054066683722655294,0.208841308639659,87.2
2028,3,Mar,0.0,0.0,0.06330728865254487,0.015058969918266987,0.054066683722655294,0.12729414009178908,87.2
2028,4,Apr,0.0,0.0,0.012994828551929016,0.015058969918266987,0.054066683722655294,0.08041859785228256,87.2
2028,5,May,0.02082999515476558,0.009601524833384834,0.0,0.015058969918266987,0.054066683722655294,0.08771853274535568,87.2
2028,6,Jun,0.09990053041158409,0.047094540539477925,0.0,0.015058969918266987,0.054066683722655294,0.16138764389434557,87.2
2028,7,Jul,0.15498423922992455,0.07427987730752328,0.0,0.015058969918266987,0.054066683722655294,0.21270850386142137,87.2
2028,8,Aug,0.3706703036082297,0.19124088816650464,0.0,0.015058969918266987,0.054066683722655294,0.41366073718531726,87.2
2028,9,Sep,0.49013026119737235,0.2656234223285373,0.0,0.015058969918266987,0.054066683722655294,0.5249602100534899,87.2
2028,10,Oct,0.3706703036082297,0.19124088816650464,0.0,0.015058969918266987,0.054066683722655294,0.41366073718531726,87.2
2028,11,Nov,0.15498423922992455,0.07427987730752328,0.019428780418078828,0.015058969918266987,0.054066683722655294,0.2280046174649185,87.2
2028,12,Dec,0.041226101611383625,0.019110860387643425,0.17815215132960038,0.015058969918266987,0.054066683722655294,0.26586086429288425,87.2
2029,1,Jan,0.0,0.0,0.18257816871027566,0.015273987475757395,0.05454734855094292,0.23897061355855065,88.58
2029,2,Feb,0.0,0.0,0.15464616531534126,0.015273987475757395,0.05454734855094292,0.21296558825577871,88.58
2029,3,Mar,0.0,0.0,0.06499181900083362,0.015273987475757395,0.05454734855094292,0.12949633216815193,88.58
2029,4,Apr,0.0,0.0,0.013350086463389532,0.015273987475757395,0.05454734855094292,0.08141726879675182,88.58
2029,5,May,0.021172644689295028,0.009760388512911167,0.0,0.015273987475757395,0.05454734855094292,0.08870016296373362,88.58
2029,6,Jun,0.1014743270096945,0.04785854368869802,0.0,0.015273987475757395,0.05454734855094292,0.16346197832910936,88.58
2029,7,Jul,0.15734697398776665,0.07546712281949786,0.0,0.015273987475757395,0.05454734855094292,0.21548007305199302,88.58
2029,8,Aug,0.3754975335845224,0.19409010323068376,0.0,0.015273987475757395,0.05454734855094292,0.41858082246534545,88.58
2029,9,Sep,0.49580894229678285,0.2693835628096961,0.0,0.015273987475757395,0.05454734855094292,0.530592165996181,88.58
2029,10,Oct,0.3754975335845224,0.19409010323068376,0.0,0.015273987475757395,0.05454734855094292,0.41858082246534545,88.58
2029,11,Nov,0.15734697398776665,0.07546712281949786,0.019958145935099925,0.015273987475757395,0.05454734855094292,0.23113763624301542,88.58
2029,12,Dec,0.04189700849545086,0.019425511841899223,0.18257816871027566,0.015273987475757395,0.05454734855094292,0.2708554682275759,88.58
2030,1,Jan,0.0,0.0,0.18698035001242896,0.015513445260689993,0.05507510653793921,0.2436755819189803,90.122
2030,2,Feb,0.0,0.0,0.1584417111882267,0.015513445260689993,0.05507510653793921,0.21712706073395216,90.122
2030,3,Mar,0.0,0.0,0.06667331992179804,0.015513445260689993,0.05507510653793921,0.13175805996764356,90.122
