month,date,p5,p10,p25,p50,p75,p90,p95,p99,mean
40,2029-04-15,2.6592739661839606,4.11650749744618,6.355793475585861,9.089068320266712,12.975851993943472,18.344657185751316,22.023411377595934,25.0,10.201577495496549
41,2029-05-15,2.6125609187753547,3.999670507333749,6.176812375622829,8.839406413385788,12.467184419487207,17.768357395080418,21.284030752800486,25.0,9.886893404386976
42,2029-06-14,2.633239300632121,4.011656039157642,6.094406434681227,8.629007761049522,12.111558677499977,16.869332969648912,20.88095409047289,25.0,9.657900832351086
43,2029-07-14,2.63504895392693,3.9047329050073945,5.986767038172652,8.401436359000177,11.919383546196286,16.67051896402359,20.361868953756737,25.0,9.455631784295534
44,2029-08-13,2.7513666894515043,3.95387689794409,6.081853536833771,8.525887478544453,11.91038477221964,16.506078680660043,20.401891865595882,25.0,9.505411250836438
45,2029-09-12,2.9282414091189604,4.199444222864159,6.21474522912838,8.620778436241064,12.09508962404279,16.860056519276146,20.833158004394857,25.0,9.69995575701193
46,2029-10-12,2.965053803658548,4.29836961159889,6.258557822994815,8.748326620391708,12.176206489444922,16.939922314271328,20.93160908172276,25.0,9.775984389167366
47,2029-11-11,2.8311772977385545,4.165991213896281,6.143657555416121,8.595267503441853,11.982550034904206,16.872000161564152,20.68213963638119,25.0,9.646173931010923
48,2029-12-11,3.0321407507271134,4.421667538790898,6.4954477220330515,9.119878754103123,12.88791359234871,17.631129448233196,21.58664021779569,25.0,10.189036061516413
49,2030-01-10,2.9549437386223727,4.398242512056527,6.607125835786253,9.46114305108384,13.441088802455376,18.64988944573318,22.47963907674461,25.0,10.546063089620727
50,2030-02-09,2.9768106995861556,4.409470347682309,6.61787395071972,9.538725800408491,13.687335942115574,19.08895474015451,23.30834719623667,25.0,10.689923113642317
51,2030-03-11,2.697540081657346,4.122479173502259,6.390523291179896,9.245995041203102,13.349731979609913,18.639574037054604,22.62673461157285,25.0,10.39689492192625
52,2030-04-10,2.556778337535821,3.9671512022173485,6.130211833473739,8.864310552227595,12.664006868064194,17.907745312503504,21.809955041956087,25.0,9.9803328173278
53,2030-05-10,2.5364452065394234,3.8061225124264793,5.939001691079981,8.595768691192875,12.20007173743574,17.394966291222826,21.11790646095878,25.0,9.678558395768489
54,2030-06-09,2.6094204371420644,3.837319327126931,5.950166290525076,8.46203035065113,11.945946228723539,16.9544254361518,20.77522324488021,25.0,9.52746784022029
55,2030-07-09,2.685116083189915,3.9164548735285334,5.909374700612938,8.34049872925894,11.591254471423916,16.477269232268643,20.343105658741464,25.0,9.372784239347403
56,2030-08-08,2.8540016485420874,4.097567742545657,6.092995214534571,8.4192218900638,11.689409173942686,16.38746159442636,19.984465295291912,25.0,9.438797752921326
57,2030-09-07,3.0540747363052105,4.263299748246969,6.247313240326552,8.652771882512917,11.945716986832576,16.324512763781474,19.88229177931574,25.0,9.6150589592535
58,2030-10-07,3.0693189199101503,4.355982886085453,6.312432900138857,8.711329242154154,12.006549442165133,16.287336805641154,19.935646405686477,25.0,9.686082307662268
59,2030-11-06,2.9771635744280727,4.249529737096754,6.219414061157868,8.65498483415395,12.001626418946614,16.287638483144633,19.818657370150266,25.0,9.601000331252267
60,2030-12-06,3.17534771743751,4.518472058029029,6.609391220537353,9.163386440072529,12.983430516951792,17.47972568615124,21.52272657629897,25.0,10.234618981968076
