year,month,utilization_pct,regime,price_adjustment,lng_adjusted_mean
2026,6,103.30973451327435,Crisis,5.323893805309741,8.82389380530974
2026,7,103.30973451327435,Crisis,5.323893805309741,8.82389380530974
2026,8,103.30973451327435,Crisis,5.323893805309741,8.82389380530974
2026,9,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
2026,10,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
2026,11,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
2026,12,107.30973451327435,Crisis,6.92389380530974,10.42389380530974
2027,1,102.48154093097914,Crisis,4.992616372391655,8.492616372391655
2027,2,102.48154093097914,Crisis,4.992616372391655,8.492616372391655
2027,3,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,4,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,5,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,6,98.48154093097914,Crisis,3.3926163723916547,6.892616372391655
2027,7,98.48154093097914,Crisis,3.3926163723916547,6.892616372391655
2027,8,98.48154093097914,Crisis,3.3926163723916547,6.892616372391655
2027,9,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,10,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,11,100.48154093097914,Crisis,4.1926163723916545,7.6926163723916545
2027,12,102.48154093097914,Crisis,4.992616372391655,8.492616372391655
2028,1,98.89349112426035,Crisis,3.5573964497041404,7.05739644970414
2028,2,98.89349112426035,Crisis,3.5573964497041404,7.05739644970414
2028,3,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,4,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,5,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,6,94.89349112426035,Tight,1.9786982248520701,5.47869822485207
2028,7,94.89349112426035,Tight,1.9786982248520701,5.47869822485207
2028,8,94.89349112426035,Tight,1.9786982248520701,5.47869822485207
2028,9,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,10,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,11,96.89349112426035,Crisis,2.75739644970414,6.2573964497041406
2028,12,98.89349112426035,Crisis,3.5573964497041404,7.05739644970414
2029,1,98.01139601139602,Crisis,3.204558404558407,6.704558404558407
2029,2,98.01139601139602,Crisis,3.204558404558407,6.704558404558407
2029,3,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,4,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,5,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,6,94.01139601139602,Tight,1.8022792022792031,5.302279202279204
2029,7,94.01139601139602,Tight,1.8022792022792031,5.302279202279204
2029,8,94.01139601139602,Tight,1.8022792022792031,5.302279202279204
2029,9,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,10,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,11,96.01139601139602,Crisis,2.4045584045584065,5.904558404558406
2029,12,98.01139601139602,Crisis,3.204558404558407,6.704558404558407
2030,1,97.46703296703298,Crisis,2.9868131868131913,6.486813186813191
2030,2,97.46703296703298,Crisis,2.9868131868131913,6.486813186813191
2030,3,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,4,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,5,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,6,93.46703296703298,Tight,1.6934065934065956,5.193406593406595
2030,7,93.46703296703298,Tight,1.6934065934065956,5.193406593406595
2030,8,93.46703296703298,Tight,1.6934065934065956,5.193406593406595
2030,9,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,10,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,11,95.46703296703298,Crisis,2.186813186813191,5.6868131868131915
2030,12,97.46703296703298,Crisis,2.9868131868131913,6.486813186813191
2035,1,93.47727272727273,Tight,1.6954545454545467,5.195454545454547
2035,2,93.47727272727273,Tight,1.6954545454545467,5.195454545454547
2035,3,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,4,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,5,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,6,89.47727272727273,Firm,0.92159090909091,4.42159090909091
2035,7,89.47727272727273,Firm,0.92159090909091,4.42159090909091
2035,8,89.47727272727273,Firm,0.92159090909091,4.42159090909091
2035,9,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,10,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,11,91.47727272727273,Tight,1.2954545454545467,4.795454545454547
2035,12,93.47727272727273,Tight,1.6954545454545467,5.195454545454547
