year,coal_gw,gas_gw,solar_gw,wind_gw,nuclear_gw,hydro_gw,total_gw,coal_share,gas_share,solar_share,wind_share,nuclear_share,hydro_share
2011,338.0,434.0,4.7,46.9,101.4,78.4,1003.4,33.685469404026314,43.252940003986446,0.46840741478971504,4.674108032688857,10.105640821207894,7.813434323300777
2012,330.0,443.0,7.3,60.0,102.1,78.5,1020.9,32.324419629738465,43.39308453325497,0.7150553433245176,5.877167205406994,10.000979527867567,7.689293760407484
2013,318.0,452.0,11.4,61.1,100.3,78.6,1021.4,31.13373800665753,44.25298609751322,1.1161151360877228,5.981985510084199,9.819855100841982,7.695320148815352
2014,305.0,461.0,17.0,65.9,98.7,79.6,1027.2,29.692367601246104,44.87928348909657,1.6549844236760123,6.415498442367601,9.608644859813085,7.749221183800622
2015,290.0,470.0,24.5,74.5,98.6,79.8,1037.4,27.954501638712166,45.30557162136109,2.361673414304993,7.181415076151917,9.504530557162134,7.692307692307692
2016,275.0,480.0,37.0,82.2,99.9,80.0,1054.1,26.08860639408026,45.536476615121906,3.5101034057489806,7.798121620339628,9.477279195522248,7.589412769186985
2017,260.0,490.0,51.0,89.1,99.6,80.1,1069.8,24.303608151056274,45.80295382314451,4.767246214245654,8.328659562535053,9.310151430173864,7.487380818844644
2018,245.0,500.0,64.5,96.4,99.2,80.2,1085.3,22.574403390767532,46.07021100156639,5.943057219202064,8.882336681102,9.140329862710772,7.389661844651249
2019,229.0,510.0,80.0,105.6,97.1,80.3,1102.0,20.780399274047188,46.27949183303085,7.259528130671507,9.582577132486387,8.81125226860254,7.2867513611615236
2020,215.0,520.0,98.0,122.5,95.5,80.5,1131.5,19.001325673884224,45.956694653115335,8.661069376933273,10.826336721166593,8.440123729562528,7.114449845338047
2021,205.0,530.0,122.0,135.0,93.5,80.6,1166.1,17.579967412743333,45.45064745733642,10.462224509047251,11.577051710830975,8.018180258982936,6.911928651059086
2022,195.0,540.0,150.0,145.0,93.5,80.8,1204.3,16.191978742838163,44.83932574939799,12.455368263721663,12.040189321597609,7.763846217719837,6.709291704724736
2023,180.0,550.0,190.0,152.2,95.5,81.0,1248.7,14.414991591254905,44.045807639945544,15.215824457435733,12.188676223272202,7.647953872026908,6.486746216064707
2024,170.0,560.0,240.0,158.5,97.5,81.2,1307.2,13.004895960832313,42.83965728274174,18.35985312117503,12.12515299877601,7.458690330477356,6.211750305997552
