variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,blue_smr_ccs,gray_smr,green_pem
ngcc_ccs_lcoe,$/MWh (real 2024 USD),technology_costs,Natural gas CC with CCS (90% capture) LCOE,92.37,92.96,90.19,87.51,85.71,83.97,83.08,81.63,82.64,82.31,81.28,79.23,78.15,76.9,75.03,72.92,71.47,71.02,70.23,69.85,70.33,70.48,70.42,69.88,69.47,68.86,68.25,,,
ngcc_heat_rate,MMBtu/MWh,technology_costs,Natural gas combined cycle net heat rate,6.3,6.269,6.238,6.206,6.175,6.143,6.112,6.081,6.049,6.018,5.986,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,,,
ngcc_lcoe,$/MWh (real 2024 USD),technology_costs,Natural gas combined cycle LCOE,53.75,55.84,54.95,54.16,54.12,54.15,55.0,55.3,57.84,59.18,59.92,59.73,58.97,58.05,56.56,54.85,53.76,53.57,53.08,52.98,53.64,54.02,54.19,53.94,53.8,53.46,53.16,,,
ngct_capex,$/kW (real 2024 USD),technology_costs,Natural gas combustion turbine overnight capital cost,1412.842557,1402.419172,1391.995786,1381.5724,1371.149015,1360.844076,1350.420691,1339.997305,1329.573919,1319.150533,1308.727148,1298.303762,1287.880376,1277.575438,1267.152052,1256.728667,1246.305281,1235.881895,1225.458509,1215.035124,1204.611738,1194.3068,1183.883414,1173.460028,1163.036642,1152.613257,1142.189871,,,
nuclear_conventional_capex,$/kW (real 2024 USD),technology_costs,Conventional nuclear (Gen III+ LWR) overnight capital cost,,,,,,,6878.546179,6557.118787,6235.691396,5914.264004,5592.836613,5271.409221,5014.267308,4757.125395,4499.983482,4242.841568,3985.699655,3857.128698,3728.557742,3599.986785,3471.415829,3342.844872,3278.559394,3214.273915,3149.988437,3085.702959,3021.41748,,,
nuclear_lcoe,$/MWh (real 2024 USD),technology_costs,Nuclear LCOE (conventional large reactor),,,,,,,73.262687,71.155365,69.048044,66.940723,64.833401,62.72608,61.040223,59.354366,57.668508,55.982651,54.296794,53.453866,52.610937,51.768009,50.92508,50.082151,49.660687,49.239223,48.817759,48.396294,47.97483,,,
nuclear_smr_capex,$/kW (real 2024 USD),technology_costs,Small modular reactor overnight capital cost,,,,,,,6820.513651,6272.436661,5724.359671,5176.282682,4628.205692,4080.128702,3897.436372,3714.744042,3532.051712,3349.359382,3166.667052,3105.769609,3044.872166,2983.974722,2923.077279,2862.179836,2801.282392,2740.384949,2679.487506,2618.590062,2557.692619,,,
solar_pv_commercial_capex,$/kW (real 2024 USD),technology_costs,Commercial rooftop solar PV capital cost,1880.20083,1799.062838,1717.924846,1636.786853,1555.648861,1474.510868,1393.372876,1312.234884,1231.096891,1149.958899,1068.820907,987.682914,976.676966,965.671017,954.665069,943.65912,932.653172,921.647223,910.641274,899.635326,888.629377,877.623429,866.61748,855.611532,844.605583,833.599635,822.593686,,,
solar_pv_residential_capex,$/kW (real 2024 USD),technology_costs,Residential rooftop solar PV capital cost,2720.388624,2589.816153,2459.243682,2328.671211,2198.09874,2067.52627,1936.953799,1806.381328,1675.808857,1545.236386,1414.663915,1284.091444,1265.257502,1246.423559,1227.589617,1208.755674,1189.921732,1171.087789,1152.253847,1133.419905,1114.585962,1095.75202,1076.918077,1058.084135,1039.250192,1020.41625,1001.582307,,,
solar_pv_utility_capex,$/kW (real 2024 USD),technology_costs,Utility-scale solar PV overnight capital cost (tracking),1630.070571,1547.870302,1465.670033,1383.469763,1301.269494,1219.069225,1136.868955,1054.668686,972.468417,890.268147,808.067878,725.867609,717.340994,708.814379,700.287765,691.76115,683.234535,674.707921,666.181306,657.654691,649.128076,640.601462,632.074847,623.548232,615.021618,606.495003,597.968388,,,
solar_pv_utility_cf,fraction (0-1),technology_costs,Utility-scale solar PV net capacity factor,0.269542,0.272409,0.275277,0.278144,0.281012,0.283879,0.286746,0.289614,0.292481,0.295348,0.298216,0.301083,0.301886,0.302689,0.303492,0.304295,0.305098,0.305901,0.306704,0.307507,0.30831,0.309113,0.309916,0.310719,0.311522,0.312325,0.313128,,,
solar_pv_utility_fom,$/kW-yr (real 2024 USD),technology_costs,Utility-scale solar PV fixed O&M,22.755022,21.898509,21.047045,20.200318,19.358043,18.519956,17.685814,16.855393,16.028485,15.204898,14.384452,13.566982,13.467482,13.368216,13.269182,13.170376,13.071795,12.973434,12.875292,12.777365,12.679648,12.582141,12.484839,12.387739,12.290839,12.194135,12.097625,,,
solar_pv_utility_lcoe,$/MWh (real 2024 USD),technology_costs,Utility-scale solar PV levelized cost of energy,48.737741,45.914811,43.152784,40.449647,37.803484,35.212461,32.674827,30.188909,27.753103,25.365877,23.025761,20.731345,20.455961,20.182127,19.90983,19.639055,19.369789,19.102019,18.835733,18.570917,18.307558,18.045645,17.785165,17.526106,17.268455,17.012201,16.757332,,,
wind_offshore_fixed_capex,$/kW (real 2024 USD),technology_costs,Offshore wind (fixed-bottom) capital cost,5224.86326,5044.146476,4536.824425,4057.908114,3597.683688,3519.792308,3452.143908,3361.496736,3284.974716,3218.973673,3161.091687,3109.652411,3075.256485,3043.30396,3013.491502,2985.567866,2959.322226,2934.577108,2911.180728,2889.002748,2867.930627,2847.866318,2828.724028,2810.428102,2792.911604,2776.115375,2759.986267,,,
wind_offshore_fixed_lcoe,$/MWh (real 2024 USD),technology_costs,Offshore wind (fixed-bottom) LCOE,97.743194,93.411456,84.827676,77.029279,69.73379,68.050961,66.588344,64.662681,63.050681,61.670201,60.463049,59.409208,58.708387,58.051693,57.445034,56.872403,56.341081,55.847632,55.378182,54.930451,54.513086,54.113599,53.730429,53.372672,53.018309,52.686994,52.367434,,,
wind_offshore_floating_capex,$/kW (real 2024 USD),technology_costs,Offshore wind (floating) capital cost,,,,,,,6611.5378,5806.305884,5353.205785,5045.125534,4814.98875,4633.026226,4236.013332,3975.136414,3783.900657,3634.499328,3512.79384,3410.66714,3323.052124,3246.586787,3178.932377,3118.400525,3063.734886,3013.977142,2968.380509,2926.352344,2887.415021,,,
wind_onshore_capex,$/kW (real 2024 USD),technology_costs,Land-based wind overnight capital cost,1763.069572,1641.415272,1598.351628,1555.287985,1512.224341,1469.160697,1426.097053,1408.479481,1390.86191,1373.244339,1355.626767,1338.009196,1320.391625,1302.774053,1285.156482,1267.538911,1249.921339,1232.303768,1214.686197,1197.068625,1179.451054,1161.833483,1144.215911,1126.59834,1108.980769,1091.363197,1073.745626,,,
wind_onshore_cf,fraction (0-1),technology_costs,Land-based wind net capacity factor,0.465463,0.47247,0.479517,0.486606,0.493735,0.500906,0.508117,0.508458,0.5088,0.509141,0.509483,0.509824,0.510165,0.510507,0.510848,0.51119,0.511531,0.511872,0.512214,0.512555,0.512897,0.513238,0.513579,0.513921,0.514262,0.514604,0.514945,,,
wind_onshore_fom,$/kW-yr (real 2024 USD),technology_costs,Land-based wind fixed O&M,32.855967,32.041688,31.227408,30.413129,29.59885,28.78457,27.970291,27.443065,26.915839,26.388612,25.861386,25.33416,24.806934,24.279708,23.752481,23.225255,22.698029,22.170803,21.643577,21.11635,20.589124,20.061898,19.534672,19.007445,18.480219,17.952993,17.425767,,,
wind_onshore_lcoe,$/MWh (real 2024 USD),technology_costs,Land-based wind levelized cost of energy,33.303961,30.897163,29.650649,28.437848,27.257611,26.108837,24.990472,24.624383,24.258786,23.893679,23.529061,23.164932,22.801289,22.438134,22.075463,21.713277,21.351575,20.990355,20.629616,20.269359,19.90958,19.550281,19.191459,18.833113,18.475244,18.117849,17.760928,,,
