scenario,variable,unit,category,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
moderate,nuclear_conventional_capex,$/kW (real 2024 USD),technology_costs,,,,,,,8095.618358,8026.425039,7957.23172,7888.0384,7818.845081,7749.651762,7542.071804,7334.491846,7126.911888,6919.33193,6711.751972,6573.365334,6434.978695,6296.592056,6158.205418,6019.818779,5881.432141,5743.045502,5604.658863,5466.272225,5327.885586
moderate,nuclear_smr_capex,$/kW (real 2024 USD),technology_costs,,,,,,,10257.22697,9877.329674,9497.432379,9117.535084,8737.637789,8357.740494,8041.159414,7724.578335,7407.997256,7091.416177,6774.835097,6584.88645,6394.937802,6204.989154,6015.040507,5825.091859,5698.459428,5571.826996,5445.194564,5318.562132,5191.929701
moderate,nuclear_lcoe,$/MWh (real 2024 USD),technology_costs,,,,,,,89.707464,89.253823,88.800182,88.346541,87.892901,87.43926,86.078338,84.717415,83.356493,81.995571,80.634649,79.727367,78.820086,77.912804,77.005523,76.098241,75.19096,74.283678,73.376397,72.469115,71.561834
moderate,electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
moderate,electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
moderate,electrolyzer_soec_capex,$/kW (real 2024 USD),technology_costs,2500,2318,2136,1955,1773,1591,1409,1227,1045,864,682,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
moderate,electrolyzer_efficiency,kWh/kg H2,technology_costs,54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6
moderate,lcoh_green_electrolysis,$/kg H2 (real 2024 USD),technology_costs,6.3775,5.9427,5.5079,5.0731,4.6382,4.2034,3.7686,3.3337,2.8989,2.4641,2.0292,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944,1.5944
moderate,lcoh_blue_smr_ccs,$/kg H2 (real 2024 USD),technology_costs,2.551,2.4882,2.4254,2.3626,2.2998,2.237,2.1742,2.1114,2.0485,1.9857,1.9229,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601,1.8601
moderate,lcoh_gray_smr,$/kg H2 (real 2024 USD),technology_costs,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755
