region,category,level,parent,display_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
africa,memo_transitional_fossil,0,,Memo: Transitional fossil fuels,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.70
africa,other_end_use,2,end_use,Other end-use,0.50,0.50,0.60,0.50,0.50,0.60,0.40,0.60,0.60,1.10,1.70
africa,other_end_use_buildings,3,other_end_use,Other end-use: Buildings,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.30,0.50,0.70
africa,other_end_use_industry,3,other_end_use,Other end-use: Industry,0.10,0.20,0.20,0.30,0.30,0.40,0.20,0.20,0.10,0.30,0.20
africa,other_end_use_renewables,2,end_use,Other end-use renewables,0.23,0.52,0.50,0.37,0.39,0.33,0.33,0.34,0.36,0.37,
africa,other_end_use_transport,3,other_end_use,Other end-use: Transport,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.10,0.20,0.20,0.80
africa,power,1,,Power,36.40,36.00,32.10,27.30,23.50,21.80,25.50,30.10,32.70,37.60,37.50
africa,supply_by_type,1,,Supply (by type),136.78,116.32,115.24,113.08,67.74,57.83,59.67,67.74,75.61,,
africa,supply_electricity_networks,1,,Supply: Electricity networks,12.82,12.60,11.74,10.54,8.39,6.93,8.16,9.70,9.97,,
africa,supply_fossil_no_ccus,2,supply_by_type,Supply: Fossil fuels (no CCUS),112.01,93.05,94.35,93.38,49.11,38.66,36.51,39.63,43.40,,
africa,supply_other,1,,Supply: Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.91,,
africa,supply_renewables,1,,Supply: Renewables,11.52,10.99,9.64,9.73,10.50,12.39,15.08,17.88,21.32,,
africa,total,0,,Total,153.40,128.80,111.40,101.20,95.60,76.30,82.80,92.30,107.50,116.70,104.40
asia_pacific,battery_storage,2,power,Battery storage,0.10,0.40,0.70,1.80,1.30,2.20,2.50,6.80,12.60,23.70,23.50
asia_pacific,clean_energy,1,total,of which: Clean energy,515.30,568.90,589.80,585.90,579.90,571.80,593.10,729.80,851.90,915.90,946.60
asia_pacific,clean_fuels,2,fuels,Clean Fuels,2.20,2.30,2.00,1.90,2.20,2.10,2.90,6.30,5.00,6.00,10.00
asia_pacific,direct_air_capture,2,fuels,Direct Air Capture,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asia_pacific,efficiency_buildings,3,energy_efficiency,Efficiency: Buildings,75.00,77.50,80.60,81.10,83.60,82.50,86.30,86.60,92.00,96.40,97.10
asia_pacific,efficiency_industry,3,energy_efficiency,Efficiency: Industry,18.90,16.50,15.70,12.70,10.80,8.60,8.30,7.80,8.10,11.10,13.70
asia_pacific,efficiency_transport,3,energy_efficiency,Efficiency: Transport,9.60,22.10,23.70,25.10,26.10,24.70,21.70,19.30,22.10,23.50,21.10
asia_pacific,electricity_networks,2,power,Electricity networks,152.90,161.30,154.40,149.80,132.80,123.60,123.20,132.20,132.00,146.00,155.70
asia_pacific,end_use,1,,End-use,165.60,196.80,207.40,194.30,178.70,178.70,203.70,235.00,235.80,243.30,260.70
asia_pacific,energy_efficiency,2,end_use,Energy efficiency,103.50,116.10,119.90,118.90,120.50,115.70,116.40,113.70,122.10,131.10,131.90
asia_pacific,fossil_coal,3,fossil_fuels,Coal,103.50,82.00,88.20,90.20,109.50,104.00,109.50,124.50,133.20,140.90,147.50
asia_pacific,fossil_fuels,2,fuels,Fossil fuels,333.50,268.80,258.70,266.20,274.10,247.00,259.80,284.30,294.60,302.80,321.40
asia_pacific,fossil_gas,3,fossil_fuels,Gas,120.80,91.90,71.70,70.60,66.20,62.60,64.30,74.90,73.80,70.70,80.10
asia_pacific,fossil_oil,3,fossil_fuels,Oil,109.20,95.00,98.80,105.40,98.50,80.40,86.00,84.80,87.60,91.30,93.80
asia_pacific,fuels,1,,Fuels,335.70,271.20,260.70,268.00,276.30,249.10,262.70,290.60,299.50,308.80,331.40
asia_pacific,gen_coal_unabated,3,generation,Coal (unabated),78.60,71.50,66.00,63.30,60.60,55.80,57.30,59.90,60.90,66.90,71.50
asia_pacific,gen_fossil_ccus,3,generation,Fossil fuels with CCUS,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.30,0.60,0.70,0.70
asia_pacific,gen_nuclear,3,generation,Nuclear,20.90,20.20,17.40,16.70,17.10,17.80,20.30,22.40,26.90,32.40,34.20
asia_pacific,gen_oil_gas_unabated,3,generation,Oil & natural gas (unabated),27.80,26.90,25.40,22.40,19.40,15.60,17.10,21.40,28.30,32.80,22.90
asia_pacific,gen_other_clean,3,generation,Other clean power,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.70
asia_pacific,gen_other_clean_ammonia,4,gen_other_clean,Ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asia_pacific,gen_other_clean_heat_pumps,4,gen_other_clean,Large scale heat pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.70
