scenario,variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
nze,demand_transport,EJ,energy_demand,us,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542,25.542
nze,electrolyzer_capacity_installed,GW,hydrogen,world,0.0,23.497273,46.994545,70.491818,93.989091,117.486364,140.983636,164.480909,187.978182,211.475455,234.972727,258.47,275.654,292.838,310.022,327.206,344.39,351.92,359.45,366.98,374.51,382.04,389.57,397.1,404.63,412.16,419.69
nze,emissions_co2_buildings,Mt CO2,emissions,world,2801.57,2677.533636,2553.497273,2429.460909,2305.424545,2181.388182,2057.351818,1933.315455,1809.279091,1685.242727,1561.206364,1437.17,1298.776,1160.382,1021.988,883.594,745.2,675.643,606.086,536.529,466.972,397.415,327.858,258.301,188.744,119.187,49.63
nze,emissions_co2_industry,Mt CO2,emissions,world,9057.03,8806.464545,8555.899091,8305.333636,8054.768182,7804.202727,7553.637273,7303.071818,7052.506364,6801.940909,6551.375455,6300.81,5806.928,5313.046,4819.164,4325.282,3831.4,3493.499,3155.598,2817.697,2479.796,2141.895,1803.994,1466.093,1128.192,790.291,452.39
nze,emissions_co2_per_capita,t CO2/person,emissions,,0.558782,0.554336,0.54996,0.545652,0.541412,0.537237,0.533125,0.529077,0.525089,0.521161,0.517291,0.513478,0.510143,0.506851,0.503602,0.500393,0.497226,0.494619,0.492039,0.489486,0.48696,0.484459,0.481984,0.479534,0.477109,0.474708,0.472331
nze,emissions_co2_per_gdp,kg CO2/$ GDP,emissions,,0.023027,0.022262,0.021546,0.020874,0.020244,0.01965,0.01909,0.018561,0.018061,0.017587,0.017137,0.01671,0.016266,0.015844,0.015445,0.015064,0.014703,0.014343,0.014,0.013674,0.013362,0.013064,0.012779,0.012507,0.012246,0.011995,0.011754
nze,emissions_co2_power,Mt CO2,emissions,us,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0
nze,emissions_co2_total,Mt CO2,emissions,us,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18
nze,emissions_co2_transport,Mt CO2,emissions,world,8358.32,8075.316364,7792.312727,7509.309091,7226.305455,6943.301818,6660.298182,6377.294545,6094.290909,5811.287273,5528.283636,5245.28,4847.12,4448.96,4050.8,3652.64,3254.48,3018.305,2782.13,2545.955,2309.78,2073.605,1837.43,1601.255,1365.08,1128.905,892.73
nze,energy_intensity_gdp,MJ/$ GDP (real 2024 USD),macro,world,3.33,3.219091,3.108182,2.997273,2.886364,2.775455,2.664545,2.553636,2.442727,2.331818,2.220909,2.11,2.046,1.982,1.918,1.854,1.79,1.759,1.728,1.697,1.666,1.635,1.604,1.573,1.542,1.511,1.48
