Day,Daily average day-ahead price (EUR/MWh),Share of solar and wind generation (%)
28.05.2024,77.03,28.29
29.05.2024,78.95,30.07
30.05.2024,83.94,28.09
31.05.2024,74.95,30.52
01.06.2024,55.48,31.33
02.06.2024,41.65,31.98
03.06.2024,92.12,28.47
04.06.2024,91.89,29.55
05.06.2024,82.13,31.86
06.06.2024,82.49,28.86
07.06.2024,82.01,28.39
08.06.2024,57.68,32.64
09.06.2024,39.30,36.84
10.06.2024,75.99,34.26
11.06.2024,76.63,30.70
12.06.2024,85.42,28.19
13.06.2024,88.84,29.75
14.06.2024,76.60,30.01
15.06.2024,39.71,35.98
16.06.2024,42.71,35.56
17.06.2024,91.02,26.50
18.06.2024,89.30,26.64
19.06.2024,81.44,28.78
20.06.2024,86.96,29.60
21.06.2024,89.83,28.30
22.06.2024,61.26,33.27
23.06.2024,58.78,30.06
24.06.2024,89.22,26.93
25.06.2024,101.61,26.12
26.06.2024,93.87,25.56
27.06.2024,87.13,29.64
28.06.2024,72.87,33.16
29.06.2024,62.86,33.33
30.06.2024,48.82,31.63
01.07.2024,95.31,27.38
02.07.2024,83.90,30.79
03.07.2024,83.26,29.45
04.07.2024,64.72,35.74
05.07.2024,59.54,34.85
06.07.2024,38.11,38.48
07.07.2024,47.60,33.45
08.07.2024,90.30,24.89
09.07.2024,82.35,28.40
10.07.2024,87.95,29.37
11.07.2024,104.02,25.23
12.07.2024,101.32,24.72
13.07.2024,69.36,28.83
14.07.2024,63.12,28.83
15.07.2024,99.65,24.70
16.07.2024,96.36,25.53
17.07.2024,104.71,27.58
18.07.2024,105.02,25.93
19.07.2024,99.23,25.66
20.07.2024,79.14,26.33
21.07.2024,64.94,27.38
22.07.2024,96.12,24.86
23.07.2024,89.24,24.83
24.07.2024,83.34,25.95
25.07.2024,94.03,25.54
26.07.2024,85.30,25.14
27.07.2024,76.04,22.45
28.07.2024,54.78,30.12
29.07.2024,73.50,30.60
30.07.2024,77.30,25.42
31.07.2024,81.11,25.02
01.08.2024,90.90,24.76
02.08.2024,93.24,24.74
03.08.2024,75.99,25.82
04.08.2024,69.19,28.25
05.08.2024,97.14,23.19
06.08.2024,88.89,25.59
07.08.2024,90.32,26.89
08.08.2024,92.33,26.71
09.08.2024,73.76,34.74
10.08.2024,60.53,36.00
11.08.2024,57.30,35.13
12.08.2024,86.99,29.60
13.08.2024,98.35,29.56
14.08.2024,100.70,25.97
15.08.2024,80.81,29.94
16.08.2024,99.29,27.81
17.08.2024,88.66,25.33
18.08.2024,79.22,26.61
19.08.2024,100.98,27.69
20.08.2024,90.80,31.40
21.08.2024,84.72,34.42
22.08.2024,79.08,33.96
23.08.2024,80.76,35.13
24.08.2024,64.49,35.80
25.08.2024,49.78,37.76
26.08.2024,94.27,33.52
27.08.2024,99.07,29.98
28.08.2024,108.09,29.18
29.08.2024,116.76,27.28
30.08.2024,106.88,25.78
31.08.2024,82.17,32.07
01.09.2024,75.00,29.13
02.09.2024,131.96,25.26
03.09.2024,136.02,25.24
04.09.2024,122.46,25.52
05.09.2024,91.89,31.12
06.09.2024,86.78,29.14
07.09.2024,72.58,27.68
08.09.2024,61.02,32.51
09.09.2024,81.72,34.85
10.09.2024,72.76,39.50
11.09.2024,83.56,34.20
12.09.2024,95.91,27.76
13.09.2024,84.44,31.56
14.09.2024,58.98,32.51
15.09.2024,60.71,27.02
16.09.2024,92.90,21.62
17.09.2024,89.52,23.98
18.09.2024,81.45,26.74
19.09.2024,75.10,27.27
20.09.2024,78.46,26.67
21.09.2024,66.70,26.60
22.09.2024,72.10,22.23
23.09.2024,94.99,20.32
24.09.2024,76.61,26.87
25.09.2024,66.20,32.63
26.09.2024,58.03,34.83
27.09.2024,46.50,36.67
28.09.2024,48.73,34.46
29.09.2024,44.90,37.09
30.09.2024,61.44,34.19
01.10.2024,78.07,30.00
02.10.2024,109.10,24.71
03.10.2024,91.39,28.13
04.10.2024,88.42,25.32
05.10.2024,79.82,23.84
06.10.2024,61.75,27.93
07.10.2024,88.09,25.39
08.10.2024,72.62,30.74
09.10.2024,65.55,33.97
10.10.2024,60.40,33.39
11.10.2024,77.10,31.37
12.10.2024,59.85,33.69
13.10.2024,38.09,32.63
14.10.2024,100.21,19.56
15.10.2024,87.18,24.38
17.10.2024,63.37,32.35
18.10.2024,71.80,24.91
19.10.2024,61.60,29.84
20.10.2024,41.73,37.37
21.10.2024,80.51,33.48
22.10.2024,89.35,26.96
23.10.2024,85.90,28.22
24.10.2024,90.44,26.01
25.10.2024,93.43,21.20
26.10.2024,85.26,22.15
27.10.2024,80.14,29.90
28.10.2024,93.08,27.18
29.10.2024,112.64,20.14
30.10.2024,89.83,26.61
31.10.2024,83.70,26.39
01.11.2024,69.70,29.83
02.11.2024,80.15,26.01
03.11.2024,69.97,29.97
04.11.2024,108.68,18.92
05.11.2024,118.64,19.83
06.11.2024,137.45,16.81
07.11.2024,116.00,18.07
08.11.2024,96.82,20.26
09.11.2024,98.70,19.05
10.11.2024,100.65,15.07
11.11.2024,117.80,17.91
12.11.2024,144.28,16.03
13.11.2024,148.54,18.65
14.11.2024,128.65,23.37
15.11.2024,110.93,28.32
16.11.2024,89.25,34.70
17.11.2024,85.22,33.47
18.11.2024,124.30,24.46
19.11.2024,137.48,21.65
20.11.2024,104.82,31.00
21.11.2024,114.50,28.11
22.11.2024,112.13,29.98
23.11.2024,88.24,34.86
24.11.2024,65.23,38.02
25.11.2024,86.65,33.37
26.11.2024,109.02,25.07
27.11.2024,125.52,19.71
28.11.2024,119.31,23.38
29.11.2024,114.13,24.14
30.11.2024,90.32,32.59
01.12.2024,78.76,32.73
02.12.2024,100.67,27.42
03.12.2024,129.06,21.22
04.12.2024,151.32,18.68
05.12.2024,119.88,30.51
06.12.2024,107.55,27.72
07.12.2024,91.76,29.61
08.12.2024,85.54,32.59
09.12.2024,100.58,28.73
10.12.2024,129.44,19.22
11.12.2024,188.49,13.69
12.12.2024,227.26,11.73
13.12.2024,144.83,16.05
14.12.2024,88.60,29.70
15.12.2024,74.86,37.16
16.12.2024,83.59,36.19
17.12.2024,99.56,27.52
18.12.2024,99.27,31.29
19.12.2024,77.07,34.19
20.12.2024,74.92,35.86
21.12.2024,61.45,38.75
22.12.2024,62.24,36.84
23.12.2024,80.45,30.91
24.12.2024,86.31,26.60
25.12.2024,74.29,32.45
26.12.2024,87.07,27.43
27.12.2024,103.60,19.41
28.12.2024,100.37,21.40
29.12.2024,89.75,29.50
30.12.2024,90.99,30.21
31.12.2024,86.37,27.91
