Date,Cross-border transport costs from Belgium to Germany (EUR/MWH),Belgian ZTP hub price  (EUR/MWH),ZTP sourcing costs into Germany  (EUR/MWH),German THE hub price  (EUR/MWH),NWE LNG price  (EUR/MWH),LNG to THE transport costs  (EUR/MWH),LNG into Germany  (EUR/MWH)
0/19/22,9.23,72.10,81.33,87.15,80.36,2.30,82.66
0/3/22,1.03,58.55,59.58,61.00,68.11,2.30,70.42
0/20/22,9.23,79.40,88.63,91.58,79.28,2.30,81.58
0/4/22,0.73,60.00,60.73,63.50,84.47,2.30,86.78
0/21/22,9.31,80.92,90.24,91.40,84.41,2.30,86.71
0/5/22,0.73,83.65,84.38,84.55,92.37,2.30,94.67
0/22/22,16.23,83.00,99.23,98.55,79.25,2.30,81.56
0/6/22,0.73,92.00,92.73,92.83,95.12,2.30,97.42
0/23/22,16.23,63.50,79.73,91.47,79.25,2.30,81.56
0/24/22,10.76,63.50,74.26,91.47,79.25,2.30,81.56
0/25/22,9.73,68.55,78.28,92.33,77.11,2.30,79.41
0/26/22,9.48,83.50,92.98,93.47,76.08,2.30,78.38
0/27/22,9.23,83.90,93.13,97.53,77.03,2.30,79.33
0/28/22,5.39,95.25,100.64,103.78,76.97,2.30,79.27
0/29/22,3.14,96.97,100.12,99.03,72.70,2.30,75.00
0/30/22,3.03,84.10,87.13,95.50,72.70,2.30,75.00
0/1/22,3.38,84.10,87.48,95.50,72.70,2.30,75.00
0/2/22,2.86,84.10,86.96,95.50,72.70,2.30,75.00
0/3/22,1.95,81.95,83.90,95.58,69.53,2.30,71.83
0/4/22,5.74,81.60,87.34,96.42,74.87,2.30,77.17
0/5/22,4.11,97.62,101.74,101.62,77.47,2.30,79.77
0/6/22,3.94,93.50,97.44,96.10,70.45,2.30,72.75
0/22/22,37.91,129.45,167.36,155.05,134.89,2.30,137.19
0/7/22,4.14,77.53,81.67,85.58,70.45,2.30,72.75
0/23/22,30.71,116.78,147.49,160.00,134.89,2.30,137.19
0/8/22,4.00,77.53,81.52,85.58,70.45,2.30,72.75
0/24/22,35.56,116.78,152.33,160.00,134.89,2.30,137.19
0/9/22,4.73,77.20,81.93,87.30,60.56,2.30,62.86
0/25/22,43.67,117.50,161.17,160.90,150.15,2.30,152.45
0/10/22,12.21,76.20,88.41,86.30,67.02,2.30,69.32
0/26/22,59.14,111.70,170.84,175.00,171.15,2.30,173.45
0/11/22,14.74,75.70,90.44,85.80,67.46,2.30,69.76
0/27/22,55.60,140.50,196.10,202.15,148.47,2.30,150.77
0/12/22,11.10,73.58,84.68,82.30,72.56,2.30,74.86
0/28/22,54.17,151.00,205.17,204.25,153.53,2.30,155.83
0/29/22,64.75,137.88,202.63,199.85,157.67,2.30,159.97
0/13/22,14.11,85.67,99.79,94.40,63.47,2.30,65.77
0/30/22,64.75,120.50,185.25,191.80,157.67,2.30,159.97
0/14/22,15.77,75.05,90.82,83.78,63.47,2.30,65.77
0/15/22,20.73,75.05,95.78,83.78,63.47,2.30,65.77
0/31/22,64.84,120.50,185.34,191.80,157.67,2.30,159.97
0/16/22,20.96,76.12,97.09,84.85,67.64,2.30,69.94
0/1/22,73.98,119.80,193.78,192.03,156.71,2.30,159.01
0/17/22,26.73,66.00,92.73,92.40,72.99,2.30,75.29
0/2/22,79.49,113.70,193.19,198.70,153.53,2.30,155.83
0/18/22,15.24,69.75,84.99,91.92,71.18,2.30,73.48
0/3/22,69.65,121.03,190.68,201.00,146.72,2.30,149.02
0/19/22,12.89,77.00,89.89,89.10,72.88,2.30,75.18
0/4/22,4.12,125.00,129.12,196.45,147.58,2.30,149.88
0/20/22,11.99,76.00,87.99,88.30,67.39,2.30,69.69
0/5/22,61.03,168.07,229.10,198.68,144.88,2.30,147.18
0/21/22,2.40,75.75,78.15,83.10,67.39,2.30,69.69
0/6/22,73.87,122.97,196.85,193.28,144.88,2.30,147.18
0/22/22,1.22,75.75,76.97,83.10,67.39,2.30,69.69
0/7/22,63.71,122.97,186.69,193.28,144.88,2.30,147.18
0/23/22,1.27,75.50,76.77,84.75,74.75,2.30,77.05
0/8/22,61.48,122.00,183.48,192.93,142.14,2.30,144.44
0/24/22,0.84,75.90,76.74,77.20,69.16,2.30,71.46
0/9/22,57.84,123.50,181.34,191.50,143.16,2.30,145.46
0/25/22,5.03,76.78,81.81,79.30,73.26,2.30,75.56
0/10/22,3.60,136.00,139.60,192.65,153.94,2.30,156.24
0/11/22,43.71,200.30,244.01,202.88,155.58,2.30,157.88
0/26/22,4.81,76.80,81.61,81.60,70.99,2.30,73.29
0/12/22,27.72,171.22,198.95,206.55,156.13,2.30,158.43
0/27/22,7.00,75.60,82.60,80.40,71.77,2.30,74.07
0/13/22,31.72,151.00,182.72,200.53,156.13,2.30,158.43
0/28/22,1.06,78.45,79.51,83.25,71.77,2.30,74.07
0/14/22,41.01,151.00,192.01,200.53,156.13,2.30,158.43
0/29/22,1.83,78.45,80.28,83.25,71.77,2.30,74.07
0/15/22,50.71,151.00,201.71,200.25,177.17,2.30,179.47
0/30/22,6.50,80.10,86.60,84.90,75.32,2.30,77.62
0/16/22,61.55,160.57,222.12,218.93,186.22,2.30,188.52
0/31/22,5.96,78.42,84.39,87.30,77.50,2.30,79.80
0/17/22,71.23,146.00,217.23,223.85,192.22,2.30,194.52
0/1/22,4.08,84.00,88.08,85.88,68.80,2.30,71.09
0/18/22,68.33,157.03,225.35,226.80,201.58,2.30,203.88
0/2/22,4.30,68.10,72.40,74.10,68.80,2.30,71.09
0/19/22,67.75,167.97,235.72,239.10,208.50,2.30,210.80
0/3/22,3.94,68.10,72.04,74.10,68.80,2.30,71.09
0/20/22,69.23,168.68,237.91,245.03,208.50,2.30,210.80
0/4/22,4.53,68.10,72.63,74.10,68.80,2.30,71.09
0/21/22,75.71,168.68,244.39,245.03,208.50,2.30,210.80
0/5/22,3.87,68.10,71.97,74.10,68.80,2.30,71.09
