year_month,avg_price_mwh,min_price_mwh,max_price_mwh,std_price_mwh,hourly_obs,date
2014-07,36.289986559139784,20.0,91.21,12.961420864273139,744,2014-07-01
2014-08,39.736559139784944,21.77,490.69,30.615145131593454,744,2014-08-01
2014-09,34.26479166666667,20.0,88.25,10.326765995371307,720,2014-09-01
2014-10,34.83224462365591,15.02,307.98,19.383167669355682,744,2014-10-01
2014-11,33.94210818307906,9.97,491.23,24.47308164073,721,2014-11-01
2014-12,26.55225806451613,5.02,68.74,7.764611546733754,744,2014-12-01
2015-01,25.082137096774193,5.3,128.53,8.493668776764798,744,2015-01-01
2015-02,24.077589285714286,7.82,148.03,12.127477643803678,672,2015-02-01
2015-03,26.029071332436068,5.0,303.4,15.858111534086245,743,2015-03-01
2015-04,23.813375,8.07,64.16,7.202702735919111,720,2015-04-01
2015-05,24.166545698924732,5.12,59.44,7.794668746307647,744,2015-05-01
2015-06,24.809569444444442,10.21,58.16,8.364186782801465,720,2015-06-01
2015-07,29.708373655913977,13.77,206.28,18.38901563449088,744,2015-07-01
2015-08,45.95217741935484,8.3,2238.1,129.73234644125134,744,2015-08-01
2015-09,24.643527777777777,7.46,81.22,9.507142651188525,720,2015-09-01
2015-10,21.38817204301075,5.09,74.33,7.9184817217632295,744,2015-10-01
2015-11,19.253106796116505,2.91,50.92,6.665638674990061,721,2015-11-01
2015-12,18.254986559139784,5.91,62.75,6.40369801891456,744,2015-12-01
2016-01,19.25869623655914,5.13,54.53,5.5123168382360115,744,2016-01-01
2016-02,15.269252873563218,1.52,50.9,5.812592533369642,696,2016-02-01
2016-03,16.654347240915207,1.05,65.81,7.426260850084184,743,2016-03-01
2016-04,18.16686111111111,1.07,94.38,9.574284135033096,720,2016-04-01
2016-05,18.247002688172042,2.64,73.06,8.214961649765993,744,2016-05-01
2016-06,24.297847222222224,4.15,115.88,11.861734726158794,720,2016-06-01
2016-07,27.459206989247313,5.86,99.3,12.793737081962158,744,2016-07-01
2016-08,30.948534946236556,13.39,232.88,28.067207749952498,744,2016-08-01
2016-09,27.188138888888886,10.99,203.88,15.16413774610703,720,2016-09-01
2016-10,25.769059139784947,2.96,277.51,16.816964578457856,744,2016-10-01
2016-11,19.479653259361996,2.37,49.27,6.545123291992421,721,2016-11-01
2016-12,25.362594086021506,2.34,139.98,11.198097445441174,744,2016-12-01
2017-01,23.325551075268816,1.84,96.27,7.577709890137224,744,2017-01-01
2017-02,20.352127976190474,2.34,53.19,7.066815784413845,672,2017-02-01
2017-03,23.233230148048452,4.36,87.72,8.870794538909273,743,2017-03-01
2017-04,24.830486111111114,8.6,91.68,8.938620642163299,720,2017-04-01
2017-05,25.90502688172043,4.18,65.97,8.793912445332902,744,2017-05-01
2017-06,28.513847222222225,14.64,88.26,12.215149025157547,720,2017-06-01
2017-07,31.864408602150537,16.7,263.26,18.501171755106707,744,2017-07-01
2017-08,27.83861559139785,16.62,90.23,11.25476501294963,744,2017-08-01
2017-09,24.519694444444443,8.4,61.96,8.268483617032992,720,2017-09-01
2017-10,24.701451612903227,3.48,109.91,12.05308567698832,744,2017-10-01
2017-11,23.156962552011095,3.68,91.6,8.900548051789102,721,2017-11-01
2017-12,21.209852150537632,4.55,56.06,5.336605259728787,744,2017-12-01
2018-01,37.7730376344086,5.24,1658.38,87.50519670270873,744,2018-01-01
2018-02,21.830059523809524,4.2,73.4,7.607576739110757,672,2018-02-01
2018-03,22.40343203230148,6.13,69.98,8.604464627194634,743,2018-03-01
2018-04,22.450305555555556,4.42,53.51,7.838026572185339,720,2018-04-01
2018-05,32.834852150537635,7.13,536.14,37.757652134754366,744,2018-05-01
2018-06,29.78186111111111,14.66,113.13,14.418706406790347,720,2018-06-01
2018-07,78.8323252688172,9.95,2061.56,233.32551272329218,744,2018-07-01
2018-08,31.694583333333334,12.87,149.94,18.560145316602355,744,2018-08-01
2018-09,27.05302777777778,14.75,88.41,10.301125773944907,720,2018-09-01
2018-10,29.889112903225808,9.98,95.61,10.165972310649039,744,2018-10-01
2018-11,30.265325936199723,8.42,105.98,11.81620299680374,721,2018-11-01
2018-12,30.191989247311827,6.45,117.99,10.318657868630199,744,2018-12-01
2019-01,24.68340053763441,5.59,75.44,8.21035899011041,744,2019-01-01
2019-02,21.25063988095238,4.85,56.86,7.0730121645770625,672,2019-02-01
2019-03,27.189030955585466,5.95,674.86,34.35972336363792,743,2019-03-01
2019-04,22.221166666666665,4.4,103.18,12.112938760854048,720,2019-04-01
2019-05,23.883763440860214,9.03,67.33,8.577879707268158,744,2019-05-01
2019-06,25.171541666666663,8.6,102.85,13.788867563759192,720,2019-06-01
2019-07,29.696236559139784,11.28,274.53,26.839811239624783,744,2019-07-01
2019-08,126.34983870967741,9.9,3499.49,401.12725896834405,744,2019-08-01
2019-09,79.45919444444445,7.89,5008.13,380.1739002592013,720,2019-09-01
2019-10,28.13176075268817,6.05,851.39,53.417383946265424,744,2019-10-01
2019-11,23.246934812760056,2.91,201.15,14.53290042961602,721,2019-11-01
2019-12,18.623373655913976,3.49,60.41,6.752492529393898,744,2019-12-01
