date,Indiana,MID_C,Mass_Hub,NP_15,PJM_West,Palo_Verde,SP_15_1,SP_15_2
2005-06-01,,42.03695069204152,72.42836567164179,,72.20331219168429,56.504428754813866,55.25874954896907,
2005-07-01,,59.62972372372372,92.78058470588235,,87.82719913653534,76.11908807482463,76.83482176485087,
2005-08-01,,73.06377508166122,106.06337183098593,,104.8366079059829,82.49451007644197,84.11859982952608,
2005-09-01,,78.97378531073446,125.0521847826087,,103.60595715272979,85.49823212913144,91.36330690069727,
2005-10-01,,85.79206621004566,127.67828289473684,,99.13528616852146,91.5303634894992,101.10741517647058,
2005-11-01,,70.48251200768492,90.9200611464968,,78.49268913342503,66.33069031639502,79.1290486458602,
2005-12-01,,103.98850326264274,115.55303787878789,,105.48182839632278,94.51059399477806,110.51968420913653,
2006-01-01,50.866755952380956,56.95426935824043,80.29333466666667,,62.33315129151291,61.885383369330455,65.47663034100844,
2006-02-01,47.10315352697096,50.87649491302921,74.74716022727273,,62.48901865929509,54.07113300492611,58.20689970398746,
2006-03-01,48.26820224719101,43.84389257063132,66.493713836478,,60.211751004016065,46.972489296636084,50.27682989230365,
